IND1990,emp_tot,emp_for,emp_nat,emp_noncit,n_obs,n_obs_for,foreign_share,noncit_share,usable
930,9735815.830899984,715750.5755,9020065.255399983,135789.91829999996,4088,228,0.0735172673694502,0.013947461687701982,TRUE
470,9612604.413499996,907162.2421000007,8705442.171400007,395264.99359999987,2992,212,0.09437216003874839,0.04111944865273843,TRUE
290,9458015.092899991,1426848.234,8031166.8589,461188.31869999995,2814,336,0.15086127691539808,0.0487616391145546,TRUE
611,8872175.487300001,2358256.639699997,6513918.847600001,1551860.5750000002,2685,589,0.2658036513226889,0.17491319656846255,TRUE
532,8577834.918400006,2492076.1521999994,6085758.766199999,1103851.5816,2374,570,0.2905250772376531,0.12868650330774814,TRUE
400,8353816.009800004,479522.3095000001,7874293.700300002,245548.48590000003,2878,127,0.057401588559942464,0.029393571226843267,TRUE
121,8346535.3072000025,2011436.1284000017,6335099.178800007,1235768.937,2454,582,0.24099054929592992,0.1480577139515583,TRUE
610,8037520.882399992,2081188.6504999998,5956332.2318999935,1101325.7081,2241,543,0.25893415158114774,0.13702306024630143,TRUE
750,7840817.780900015,1993109.2703999998,5847708.510500006,1655509.6038000002,2014,421,0.25419660628450663,0.21113991551146227,TRUE
771,7766105.026599991,3213569.268100002,4552535.758500003,1787081.0426000003,2317,841,0.4137942066316486,0.23011291200402245,TRUE
241,7766057.539600004,1706789.5445000005,6059267.995099998,1165845.0439000002,2417,428,0.21977554709025626,0.150120577648984,TRUE
581,7685440.790299988,446572.0616999999,7238868.72859999,212466.05999999994,2630,135,0.05810623930167169,0.027645266653821516,TRUE
111,7261379.276199993,2624606.6901999996,4636772.585999993,1898929.801099999,1989,645,0.3614474041870324,0.261510896053035,TRUE
852,7218482.576900003,651821.4243000004,6566661.1526000025,189362.84610000005,2397,177,0.0902989537421488,0.02623305439649928,TRUE
541,7186791.738499996,1344637.3141,5842154.42439999,523203.01399999997,1946,293,0.18709841094973045,0.07280063664530248,TRUE
200,6750850.423799996,931483.4622000003,5819366.961599994,474235.02919999993,2138,211,0.13798016601228089,0.07024819088393564,TRUE
151,6737031.860300007,2453384.778999995,4283647.081300001,1410988.9939000006,1786,573,0.36416404581033746,0.20943777959767104,TRUE
360,6728929.3745000055,729880.4653,5999048.909200001,423584.0333,2291,209,0.1084690334343469,0.06294969225048146,TRUE
160,6654856.5098000085,653246.035,6001610.474799999,355304.50220000005,2018,159,0.09816079941588873,0.05339025742730517,TRUE
650,6315476.735800008,1208491.7381999996,5106984.9976,483256.3371000002,1865,301,0.19135400045882914,0.07651937570454592,TRUE
622,6192994.88989999,461610.45729999983,5731384.432599989,256729.07910000003,2065,113,0.07453751625935127,0.041454753905690034,TRUE
521,6081789.992999987,667316.5292999999,5414473.463699995,425109.6059,1734,152,0.1097237047099731,0.06989876440805952,TRUE
