OCC2010,emp_tot,emp_for,emp_nat,emp_noncit,n_obs,n_obs_for,foreign_share,noncit_share,usable
3510,7592766.251299993,540104.1059000003,7052662.145399993,73431.5208,2389,157,0.07113403574191772,0.00967124739121627,TRUE
7220,7409992.342000004,728879.7556999999,6681112.586300003,424134.8537999999,2639,185,0.098364441157205107,0.05723823105673052,TRUE
9030,7339400.0783,793277.6918999994,6546122.386400001,255858.67910000012,2322,183,0.10808481394077969,0.034860979967079785,TRUE
2160,7338308.600999995,761729.9980999997,6576578.602899993,231264.134,2408,193,0.10380184856169695,0.03151463730599794,TRUE
300,7321877.473099992,1663837.8231000009,5658039.649999995,562680.3753999999,2106,426,0.22724196481200507,0.07684919304744497,TRUE
3540,6991915.853800005,644482.8065000001,6347433.047300005,187337.80059999996,2097,178,0.09217542372878143,0.026793486151322113,TRUE
3955,6961106.86649999,481755.3694999999,6479351.497,203178.89280000003,1977,116,0.06920671938229044,0.029187727856584016,TRUE
520,6905536.775900003,1032780.0540999997,5872756.7217999995,519289.3165999998,2015,241,0.14955825848388113,0.07519897923247545,TRUE
1105,6871046.2738999985,1162534.1855000006,5708512.088399992,428688.92500000005,1946,265,0.16919318240017434,0.0623906327961137,TRUE
3230,6838092.256399992,272342.61899999995,6565749.637399998,127384.68830000001,2107,66,0.03982728059059245,0.01862868816675829,TRUE
5310,6799655.500800003,630607.7001999994,6169047.8006000025,177793.7660999999,2079,178,0.09274112491813831,0.026147466747261216,TRUE
700,6722378.445400006,852682.6442000008,5869695.801199999,339636.3484,1789,213,0.1268424042361785,0.050523241313854717,TRUE
2550,6621665.389199992,488779.2801000001,6132886.109099994,165315.68550000002,1993,135,0.07381515847919534,0.024965877280605526,TRUE
2710,6329891.129699995,583168.1092999998,5746723.020399994,271134.2302,1777,146,0.09212924793662905,0.04283394842730105,TRUE
1320,6272123.991500011,930260.1241999998,5341863.86730001,231124.29949999985,1719,257,0.14831660302964186,0.03684944682426874,TRUE
3110,6233056.422400002,650138.8062999999,5582917.616099998,97062.68670000002,1866,161,0.10430497692329051,0.015572245800821196,TRUE
2430,5939314.522999995,406039.8302000002,5533274.692799994,178907.5111,2004,126,0.06836476307621207,0.030122585764262976,TRUE
8810,5736933.489200001,1586886.6286000004,4150046.8605999993,1158863.2989000003,1627,356,0.2766088593474852,0.2020004765754397,TRUE
5165,5711656.389800004,779566.8271000002,4932089.562699998,195171.77879999997,1596,201,0.13648699674794287,0.03417078435399963,TRUE
3010,5692008.255400001,1297031.9075999989,4394976.347800006,189165.30550000002,1686,312,0.2278689435085598,0.03323349106539667,TRUE
1030,5675408.797199999,720347.1535000001,4955061.643700006,311955.2736000001,1602,182,0.1269242761605804,0.054966132792743545,TRUE
725,5672840.037999993,614247.6987000001,5058592.3392999945,254742.0362,1602,160,0.1082786919048326,0.044905556034294844,TRUE
3630,5597528.929199999,964117.7007999996,4633411.228400001,292375.6544000001,1841,282,0.17223987816670233,0.0522329867514926,TRUE
6330,5557402.254300012,3286913.2705000015,2270488.9838,2736479.2083999994,1444,759,0.5914477880302382,0.49240258005125725,TRUE
3150,5516999.984700002,231857.87699999998,5285142.107700002,59571.14899999999,1684,64,0.042026078963748215,0.010797743187457938,TRUE
650,5409857.441700003,516363.42709999986,4893494.0145999985,188534.97639999999,1632,129,0.09544861998022205,0.03485026702307232,TRUE
1220,5405450.4648000095,728273.1775999998,4677177.287200001,178057.61199999996,1806,204,0.1347294147532151,0.032940383629357285,TRUE
3535,5327242.252600001,960403.9991,4366838.253500003,406659.1458999999,1568,233,0.18028164546698952,0.07633577123351708,TRUE
3820,5277851.649199997,275922.5684,5001929.080799996,13261.915,1526,64,0.0522793338539221,0.0025127487245705754,TRUE
600,5246161.591899992,398842.59160000004,4847319.000299994,138464.43720000004,1584,99,0.07602560169244654,0.026393475453327136,TRUE
7010,5244315.670899998,970162.8773000007,4274152.793599999,402539.03200000006,1540,238,0.18499322660596196,0.07675720861610885,TRUE
1650,5206876.431000001,2703967.986400003,2502908.4445999986,1366317.5616000008,1450,674,0.5193071167008078,0.2624063735151084,TRUE
8255,5192338.422300001,1101199.0062,4091139.4160999986,641433.7975999998,1411,253,0.2120815163877959,0.12353466693256678,TRUE
7140,5173294.310800006,954705.5689,4218588.741899998,383578.2881,1642,226,0.18454499426157003,0.07414584693146578,TRUE
7420,5055464.325999993,705017.3446999999,4350446.981299999,355700.7923,1452,153,0.13945649681951705,0.07035966814574264,TRUE
4500,5016745.700700004,1260841.9031000005,3755903.797599995,617383.0422999996,1322,298,0.2513266524400611,0.12306444837613637,TRUE
