date,window,pctile,wage,n,months,wage_lag12,yoy
2024-10-01,12,p20,16.97222222222222,67623,12,16.127991452991452,0.05234568555492247
2024-11-01,12,p20,17.038888888888888,67753,12,16.23054287163876,0.049804003701110267
2024-12-01,12,p20,17.097072072072073,67986,12,16.288888888888888,0.04961561151874938
2025-01-01,12,p20,17.165873015873014,67929,12,16.377777777777776,0.048119790657104033
2025-02-01,12,p20,17.221604938271604,67933,12,16.46666666666667,0.04584645374119045
2025-03-01,12,p20,17.25,67873,12,16.52929292929293,0.04360180884869225
2025-04-01,12,p20,17.307848324514993,67594,12,16.590740740740742,0.04322336145084216
2025-05-01,12,p20,17.36111111111111,67269,12,16.62037037037037,0.04456824512534818
2025-06-01,12,p20,17.38888888888889,67098,12,16.67222222222222,0.04298567144285248
2025-07-01,12,p20,17.454941860465116,66741,12,16.733333333333334,0.04312401556564427
2025-08-01,12,p20,17.47972972972973,66545,12,16.830246913580247,0.03859021317301159
2025-09-01,12,p20,17.529390681003584,66399,12,16.914957264957266,0.03632485772336169
2025-10-01,12,p20,17.564814814814813,60819,11,16.97222222222222,0.03491543917075823
2025-11-01,12,p20,17.57777777777778,60458,11,17.038888888888888,0.03162699706553651
2025-12-01,12,p20,17.58888888888889,59890,11,17.097072072072073,0.028766142807586048
2026-01-01,12,p20,17.616666666666667,59269,11,17.165873015873014,0.026261038420638982
2026-02-01,12,p20,17.683333333333334,59036,11,17.221604938271604,0.026810996809921495
2026-03-01,12,p20,17.730864197530863,58762,11,17.25,0.027876185364108075
2026-04-01,12,p20,17.797354497354497,58683,11,17.307848324514993,0.028282323929668562
2026-05-01,12,p20,17.841005291005292,58788,11,17.36111111111111,0.027641904761904756
2026-06-01,12,p20,17.86709401709402,58607,11,17.38888888888889,0.02750061440157303
2026-07-01,12,p20,17.881851851851852,58690,11,17.454941860465116,0.0244578294674056
2026-08-01,12,p20,17.95,58473,11,17.47972972972973,0.026903749516814734
2023-01-01,12,p40,20.26111111111111,68108,12,19.283333333333335,0.05070584845865733
2023-02-01,12,p40,20.335555555555555,67633,12,19.356296296296296,0.05059125176992829
2023-03-01,12,p40,20.42989417989418,67398,12,19.405555555555555,0.05278584379643636
2023-04-01,12,p40,20.494444444444444,67120,12,19.52777777777778,0.04950213371265999
2023-05-01,12,p40,20.575308641975308,66858,12,19.637777777777778,0.04774118919190773
2023-06-01,12,p40,20.748148148148147,66462,12,19.705555555555556,0.052908561225448736
2023-07-01,12,p40,20.896296296296295,66116,12,19.761111111111113,0.057445412801049534
2023-08-01,12,p40,21.054106280193235,65952,12,19.833333333333332,0.06155157715260007
2023-09-01,12,p40,21.116666666666667,65953,12,19.93888888888889,0.059069378657007565
2023-10-01,12,p40,21.235185185185184,66002,12,19.999074074074073,0.0618084170563451
2023-11-01,12,p40,21.377777777777776,65930,12,20.08888888888889,0.06415929203539816
2023-12-01,12,p40,21.48968253968254,66148,12,20.186868686868685,0.06453768898102163
2024-01-01,12,p40,21.585555555555555,66238,12,20.26111111111111,0.06536879627090775
2024-02-01,12,p40,21.6679012345679,66452,12,20.335555555555555,0.06551803688728608
2024-03-01,12,p40,21.78654970760234,66635,12,20.42989417989418,0.06640541139186595
2024-04-01,12,p40,21.90111111111111,66821,12,20.494444444444444,0.06863648685280554
2024-05-01,12,p40,21.93,67024,12,20.575308641975308,0.06584063362534498
2024-06-01,12,p40,22.0120987654321,67340,12,20.748148148148147,0.06091871950493877
2024-07-01,12,p40,22.094444444444445,67378,12,20.896296296296295,0.057337823466855786
2024-08-01,12,p40,22.177777777777777,67453,12,21.054106280193235,0.053370657610940286
2024-09-01,12,p40,22.288888888888888,67642,12,21.116666666666667,0.05551170744540901
2024-10-01,12,p40,22.36777777777778,67623,12,21.235185185185184,0.053335658847126544
2024-11-01,12,p40,22.455082742316783,67753,12,21.377777777777776,0.050393683372406795
2024-12-01,12,p40,22.51358024691358,67986,12,21.48968253968254,0.04764601363190568
2025-01-01,12,p40,22.593333333333334,67929,12,21.585555555555555,0.046687599732331275
2025-02-01,12,p40,22.711111111111112,67933,12,21.6679012345679,0.048145404820238324
2025-03-01,12,p40,22.761234567901234,67873,12,21.78654970760234,0.04473791735635779
2025-04-01,12,p40,22.91111111111111,67594,12,21.90111111111111,0.04611638171579324
2025-05-01,12,p40,23.02858585858586,67269,12,21.93,0.050095114390600104
2025-06-01,12,p40,23.15679012345679,67098,12,22.0120987654321,0.05200282672828638
2025-07-01,12,p40,23.253333333333334,66741,12,22.094444444444445,0.05245159668091537
2025-08-01,12,p40,23.334027777777777,66545,12,22.177777777777777,0.05213552104208419
2025-09-01,12,p40,23.40076923076923,66399,12,22.288888888888888,0.0498849605031062
